GEOID,STATEFP,STATE,COUNTYFP,COUNTY,POP_25OV22,N_HSDIP22,HS_DIP22,SOM_COLL22,ASSO_DEG22,BACH_DEG22,MAST_DEG22,PROF_DEG22,DOCT_DEG22
26163537100,26, Michigan,163, Wayne County,1404,342,406,445,76,70,58,7,0
26163537200,26, Michigan,163, Wayne County,444,93,168,139,31,9,4,0,0
26163537300,26, Michigan,163, Wayne County,1189,208,377,430,102,50,22,0,0
26163537500,26, Michigan,163, Wayne County,1979,268,704,525,136,224,122,0,0
26163537600,26, Michigan,163, Wayne County,2143,157,977,374,185,308,127,0,15
26163537700,26, Michigan,163, Wayne County,1928,416,689,448,150,68,157,0,0
26163537800,26, Michigan,163, Wayne County,812,89,378,195,119,31,0,0,0
26163538100,26, Michigan,163, Wayne County,1844,81,193,271,146,738,310,70,35
26163538200,26, Michigan,163, Wayne County,1386,49,157,231,21,316,303,225,84
26163538300,26, Michigan,163, Wayne County,1281,45,155,318,100,571,49,22,21
26163538400,26, Michigan,163, Wayne County,2858,181,388,457,254,629,725,99,125
26163538500,26, Michigan,163, Wayne County,3761,310,745,1248,314,719,254,63,108
26163538600,26, Michigan,163, Wayne County,3691,429,910,1176,170,686,303,0,17
26163538700,26, Michigan,163, Wayne County,2331,267,664,830,148,232,177,13,0
26163538800,26, Michigan,163, Wayne County,1208,136,324,424,66,101,112,18,27
26163538900,26, Michigan,163, Wayne County,2438,271,835,422,229,314,367,0,0
26163539000,26, Michigan,163, Wayne County,1943,313,564,667,189,136,56,18,0
26163539100,26, Michigan,163, Wayne County,1360,371,393,256,79,119,74,6,62
26163539200,26, Michigan,163, Wayne County,2702,268,872,1045,154,252,111,0,0
26163539300,26, Michigan,163, Wayne County,3228,315,847,972,218,446,291,139,0
26163539400,26, Michigan,163, Wayne County,2426,82,903,826,289,177,74,18,57
26163539500,26, Michigan,163, Wayne County,2520,153,949,871,281,93,158,15,0
26163539600,26, Michigan,163, Wayne County,2395,135,726,838,170,331,141,54,0
26163539700,26, Michigan,163, Wayne County,1579,265,554,390,172,138,56,0,4
26163540100,26, Michigan,163, Wayne County,2175,297,1006,451,191,158,72,0,0
26163540200,26, Michigan,163, Wayne County,1758,240,694,527,156,93,26,0,22
26163540300,26, Michigan,163, Wayne County,2178,134,903,682,292,82,75,10,0
26163540400,26, Michigan,163, Wayne County,1821,208,613,604,283,81,32,0,0
26163540500,26, Michigan,163, Wayne County,1814,323,613,581,166,110,7,14,0
26163540600,26, Michigan,163, Wayne County,2078,309,614,685,206,139,108,1,16
26163540700,26, Michigan,163, Wayne County,2283,405,1030,520,130,170,28,0,0
26163540800,26, Michigan,163, Wayne County,1392,180,410,436,143,115,108,0,0
26163540900,26, Michigan,163, Wayne County,2490,171,983,738,169,284,105,0,40
26163541000,26, Michigan,163, Wayne County,2678,340,886,1046,107,192,91,0,16
26163541100,26, Michigan,163, Wayne County,1196,185,350,569,34,24,34,0,0
26163541200,26, Michigan,163, Wayne County,1459,401,562,346,13,37,75,9,16
26163541300,26, Michigan,163, Wayne County,1864,206,441,595,344,264,0,14,0
26163541400,26, Michigan,163, Wayne County,1775,199,734,454,303,27,53,5,0
26163541500,26, Michigan,163, Wayne County,2701,309,1013,779,95,321,171,13,0
